Symbol	GeneID	log2FoldChange	padj	pvalue	EnsemblGeneID
HYCC1	84668	-5.2823811	4.1e-178	3.27e-182	ENSG00000122591
B3GALNT2	148789	-3.7775842	2e-171	3.18e-175	ENSG00000162885
POLR3H	171568	-3.9471128	3.21e-162	7.67e-166	ENSG00000100413
FBXO3	26273	-3.2583921	4.78e-153	1.52e-156	ENSG00000110429
CLIP3	25999	-5.4631829	1.96e-149	7.81e-153	ENSG00000105270
SETD7	80854	-4.5364612	8.47e-148	4.05e-151	ENSG00000145391
NSMAF	8439	-5.5811829	5.58e-147	3.11e-150	ENSG00000035681
RPL24	6152	-4.542442	1.65e-145	1.05e-148	ENSG00000114391
SNX3	8724	-5.4693609	9.44e-145	6.77e-148	ENSG00000112335
STK24	8428	-5.0259714	6.69e-138	5.33e-141	ENSG00000102572
HNRNPK	3190	-4.0583809	2.62e-136	2.29e-139	ENSG00000165119
DCUN1D1	54165	-4.6088973	1.2e-134	1.24e-137	ENSG00000043093
CIRBP	1153	-3.3508525	2.43e-133	2.71e-136	ENSG00000099622
DENND1A	57706	-5.1418284	9.48e-132	1.13e-134	ENSG00000119522
MLEC	9761	-4.355006	4.25e-131	5.42e-134	ENSG00000110917
TNFRSF1A	7132	-7.5093607	4.14e-129	5.61e-132	ENSG00000067182
SRSF9	8683	-3.0231399	1.31e-126	1.89e-129	ENSG00000111786
CLNS1A	1207	-4.0496607	3.12e-126	4.73e-129	ENSG00000074201
ALG5	29880	-4.3213219	6.05e-121	9.64e-124	ENSG00000120697
YWHAQ	10971	-4.6841828	1.2e-120	2.01e-123	ENSG00000134308
NAA60	79903	-4.1354733	2.36e-120	4.13e-123	ENSG00000122390
DYRK3	8444	-3.3455686	9.69e-118	1.78e-120	ENSG00000143479
RPS25	6230	-2.7540729	2.03e-117	3.88e-120	ENSG00000118181
SSB	6741	-6.7145941	2.46e-117	4.89e-120	ENSG00000138385
APH1A	51107	-3.7251688	2.69e-114	5.58e-117	ENSG00000117362
JAK1	3716	-6.0582664	7.23e-113	1.56e-115	ENSG00000162434
SERBP1	26135	-2.819325	1.17e-109	2.62e-112	ENSG00000142864
RER1	11079	-6.5224992	7.81e-109	1.81e-111	ENSG00000157916
ATP5IF1	93974	-4.6926464	8.69e-108	2.08e-110	ENSG00000130770
SMCR8	140775	-6.19462	9.17e-108	2.27e-110	ENSG00000176994
WIPF1	7456	-5.0955987	2.33e-107	5.94e-110	ENSG00000115935
ITGB5	3693	-5.1340364	8.75e-107	2.3e-109	ENSG00000082781
SSBP1	6742	-4.2643258	1.15e-106	3.12e-109	ENSG00000106028
DDHD2	23259	-4.454155	5.31e-106	1.48e-108	ENSG00000085788
RPL39	6170	-6.6733851	1.96e-104	5.61e-107	ENSG00000198918
FERMT2	10979	-5.2533745	1.68e-103	4.97e-106	ENSG00000073712
IARS2	55699	-3.1838202	1.81e-102	5.47e-105	ENSG00000067704
STK39	27347	-5.5017813	3.85e-100	1.2e-102	ENSG00000198648
CHPF2	54480	-4.9503352	5.07e-100	1.61e-102	ENSG00000033100
